,timestamp,T1,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD
2019-01-01 04:40:00,2019-01-01 04:40:00,21.85660704696545,1.9441185185185077,0.0,4055.5582676438235,31.972149911283932,0.0,55819766.807200596,22.0,23.0,0.3687278714250292,25.0,21.0,0.3687278714250292,0.0,0.0
2019-01-01 04:45:00,2019-01-01 04:45:00,21.882803539675876,1.9043022156084817,0.0,3314.6473627024848,85.69169290230609,0.0,56694922.95392959,22.0,23.0,0.5121866568868687,25.0,21.0,0.5121866568868687,0.0,0.0
2019-01-01 04:50:00,2019-01-01 04:50:00,21.869520009316318,1.8633500000000254,0.0,3690.3431708516123,45.420756741446446,0.0,57772648.14266149,22.0,23.0,0.41450853238783003,25.0,21.0,0.41450853238783003,0.0,0.0
2019-01-01 04:55:00,2019-01-01 04:55:00,21.877377818717946,1.820840244709018,0.0,3468.102096866175,88.7718903627836,0.0,58705723.73769854,22.0,23.0,0.5182514296570939,25.0,21.0,0.5182514296570939,0.0,0.0
2019-01-01 05:00:00,2019-01-01 05:00:00,21.851687884975433,1.7763513227513386,0.0,4194.686081502892,237.4861770380112,0.0,59867532.05998019,22.0,23.0,0.7194403608974279,25.0,21.0,0.7194403608974279,0.0,0.0
2019-01-01 05:05:00,2019-01-01 05:05:00,21.85947806341369,1.7294616071428663,0.0,3974.3578024411026,249.59213018286204,0.0,61112989.37763184,22.0,23.0,0.7314629199354516,25.0,21.0,0.7314629199354516,0.0,0.0
2019-01-01 05:10:00,2019-01-01 05:10:00,21.85439180154799,1.6788341750841482,0.0,4118.211673390173,326.625533675365,0.0,62412287.4160728,22.0,23.0,0.8000775116579008,25.0,21.0,0.8000775116579008,0.0,0.0
2019-01-01 05:15:00,2019-01-01 05:15:00,21.856871311405484,1.616363110269333,0.0,4048.0841218650867,303.93648305532537,0.0,63722109.00265334,22.0,23.0,0.7811053829175166,25.0,21.0,0.7811053829175166,0.0,0.0
2019-01-01 05:20:00,2019-01-01 05:20:00,21.870079475770808,1.5418181818182006,0.0,3674.519877189265,193.65538619096966,0.0,64973461.35412304,22.0,23.0,0.6721381500588735,25.0,21.0,0.6721381500588735,0.0,0.0
2019-01-01 05:25:00,2019-01-01 05:25:00,21.871765867623026,1.4571722432659726,0.0,3626.823946015433,146.93306633642646,0.0,66165480.4037635,22.0,23.0,0.6130396060085966,25.0,21.0,0.6130396060085966,0.0,0.0
2019-01-01 05:30:00,2019-01-01 05:30:00,21.854306934538954,1.3643981481481546,0.0,4120.6119524336245,217.38541862694967,0.0,67374241.06041661,22.0,23.0,0.6985414093798195,25.0,21.0,0.6985414093798195,0.0,0.0
2019-01-01 05:35:00,2019-01-01 05:35:00,21.881087917950538,1.265468750000025,0.0,3363.1699973585282,97.71958542558416,0.0,68570945.93493912,22.0,23.0,0.535109372866704,25.0,21.0,0.535109372866704,0.0,0.0
2019-01-01 05:40:00,2019-01-01 05:40:00,21.786074677601334,1.162356902356919,0.0,6050.413158750141,15.942511015786375,0.0,69759641.5130994,22.0,23.0,0.2923926096311088,25.0,21.0,0.2923926096311088,0.0,0.0
2019-01-01 05:45:00,2019-01-01 05:45:00,21.84358551665389,1.0570354587542283,0.0,4423.843973425373,101.2819649179834,0.0,71199152.25215185,22.0,23.0,0.5415344115458476,25.0,21.0,0.5415344115458476,0.0,0.0
2019-01-01 05:50:00,2019-01-01 05:50:00,21.802974901071252,0.9514772727272884,0.0,5572.427040409031,47.03038509348763,0.0,72777595.67300734,22.0,23.0,0.4193482784007699,25.0,21.0,0.4193482784007699,0.0,0.0
2019-01-01 05:55:00,2019-01-01 05:55:00,21.891077493921614,0.8476551978114344,0.0,3080.6365355503126,88.94042323165125,0.0,74079131.08091849,22.0,23.0,0.5185791880090713,25.0,21.0,0.5185791880090713,0.0,0.0
2019-01-01 06:00:00,2019-01-01 06:00:00,21.846925285368513,0.747542087542115,0.0,4329.385868365277,218.85246723083011,0.0,75309481.33725035,22.0,23.0,0.7001092813180835,25.0,21.0,0.7001092813180835,0.0,0.0
