,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 07:20:00,2019-01-02 07:20:00,20.807428636443774,14.593653603650978,-12.213546296296272,0.0,5446.462807650839,58.11543367346943,0.0,5504.578241324309,125265271.25091168,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.5045782413243085
2019-01-02 07:25:00,2019-01-02 07:25:00,20.807365018775727,14.586942740953134,-12.203656249999995,0.0,5448.262095231974,58.11543367346943,0.0,5506.377528905444,126916936.20959143,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.5063775289054435
2019-01-02 07:30:00,2019-01-02 07:30:00,20.80733019776835,14.58157603401935,-12.192835016835033,0.0,5449.246931804205,58.11543367346943,0.0,5507.362365477675,128569014.4794607,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.507362365477674
2019-01-02 07:35:00,2019-01-02 07:35:00,20.807319887096355,14.577663728357606,-12.182897622053872,0.0,5449.538546769753,58.11543367346943,0.0,5507.653980443223,130221280.04107115,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.507653980443223
2019-01-02 07:40:00,2019-01-02 07:40:00,20.80732870825392,14.57528270825469,-12.175659090909107,0.0,5449.289059485104,58.11543367346943,0.0,5507.404493158574,131873547.7293053,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.507404493158574
2019-01-02 07:45:00,2019-01-02 07:45:00,20.80735059468776,14.57447356146099,-12.172934448653223,0.0,5448.670049235023,58.11543367346943,0.0,5506.785482908493,133525677.98764217,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.506785482908493
2019-01-02 07:50:00,2019-01-02 07:50:00,20.807378055254674,14.575195479305705,-12.176538720538701,0.0,5447.893386736503,58.11543367346943,0.0,5506.008820409973,135177593.18358737,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.506008820409973
2019-01-02 07:55:00,2019-01-02 07:55:00,20.807403069889403,14.577379921131296,-12.188286931818197,0.0,5447.185902117882,58.11543367346943,0.0,5505.301335791351,136829279.83527884,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.505301335791351
2019-01-02 08:00:00,2019-01-02 08:00:00,20.81981030585922,14.63538444804675,-12.210450505050517,0.0,5096.274177719003,58.11543367346943,0.0,5154.389611392473,138382038.41819882,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-5.154389611392473
2019-01-02 08:05:00,2019-01-02 08:05:00,20.813839044564986,14.677059992458851,-12.247421464646436,0.0,5265.158335535746,58.11543367346943,0.0,5323.273769209216,139971608.51458204,21.0,25.0,0.45,25.0,21.0,0.45,-0.8850707795894416,21.538379571846946,-26.86165334105616
2019-01-02 08:10:00,2019-01-02 08:10:00,20.816483258709184,14.713990217995047,-12.297309090909096,0.0,5190.37248095238,58.11543367346943,0.0,5248.48791462585,141552121.18931857,21.0,25.0,0.45,25.0,21.0,0.45,-0.881578616560404,21.40746466129565,-26.655952575921496
